LOC_NUM_BCI,Datecombined(DDMMYYYY),YearNum,Year,Month,Day,DayofSeason,SEX,AGE_NUM,HatchAdultOrUnknown,BM,CS_BM,WNG_LNGTH,BCI,FOOD_ESOPH,PropTotWater,PropManagedWater,PropPrivateWater,PropRice,PropCorn,PropSoybean,PropWoodyWet,PropHerbWet,Prop_MedDisturb
2,23112019,1,2019,11,23,5,1,2,A,1293,-0.22067934,285,0.114946699,1,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1251,-0.626347284,285,-0.314300831,2,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1341,0.242941167,287,0.490543951,1,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1508,1.855954182,288,2.139158713,1,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1263,-0.510442157,289,-0.421086534,2,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1413,0.938371928,291,0.996354366,1,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1404,0.851443083,291,0.904424209,2,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1412,0.928713168,293,0.871439841,2,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1406,0.870760604,294,0.752827061,2,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1441,1.208817224,295,1.053112937,2,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1415,0.957689449,297,0.672897202,1,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1395,0.764514238,299,0.353828845,2,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
2,23112019,1,2019,11,23,5,1,2,A,1424,1.044618294,311,-0.039075375,1,25.40567936,2.159480518,23.24619884,7.803790014,0.352433128,2.894681743,7.052514121,0.328146055,0.432329005
27,24112019,1,2019,11,23,6,1,2,A,1188,-1.2348492,281,-0.729261498,1,33.25985789,1.524483365,31.73537453,10.48504472,0.173351772,11.25109021,3.227124986,0.199580538,0.301121513
27,24112019,1,2019,11,23,6,1,2,A,1520,1.971859309,286,2.377111173,1,33.25985789,1.524483365,31.73537453,10.48504472,0.173351772,11.25109021,3.227124986,0.199580538,0.301121513
